lemma	POS	freq	declension
песок	S	25	2
сначала	ADV	25	
час	S	25	2
ленивица	S	25	1
топ	INTJ	24	
спешить	V	24	
варежка	S	24	1
надевать	V	24	
платье	S	24	2
толстый	A	24	
щенок	S	24	2
катиться	V	24	
теремок	S	24	2
бок	S	24	2
осень	S	24	3
весело	ADV	24	
рыжий	A	24	
висеть	V	24	
комната	S	24	1
ваш	APRO	24	
готовый	A	24	
поэтому	ADVPRO	24	
круг	S	24	2
из-за	PR	24	
об	PR	24	
всякий	APRO	24	
сильно	ADV	24	
оказываться	V	24	
железо	S	24	2
изба	S	23	1
комар	S	23	2
прыгнуть	V	23	
приводить	V	23	
жалко	ADV	23	
злой	A	23	
чистый	A	23	
пожалуйста	PART	23	
иванович	S	23	2
никакой	APRO	23	
мало	ADV	23	
девушка	S	23	1
относить	V	23	
плечо	S	23	2
бум	S	23	2
телега	S	23	1
нечего	ADV	23	
волос	S	23	2
хотя	CONJ	23	
пять	NUM	23	
исчезать	V	23	
слоненок	S	23	2
сходить	V	23	
корова	S	22	1
сладкий	A	22	
поглядеть	V	22	
здравствовать	V	22	
елочка	S	22	1
ворота	S	22	T
уснуть	V	22	
кровать	S	22	3
крепко	ADV	22	
спасибо	S	22	Н
крыльцо	S	22	2
должный	A	22	
словно	CONJ	22	
старуха	S	22	1
плохо	ADV	22	
оля	S	22	1
ручей	S	22	2
снежинка	S	22	1
р	S	22	Н
стена	S	22	1
ледяной	A	22	
назад	ADV	22	
правда	ADV	22	
бручолина	S	22	1
имя	S	22	Р
питон	S	22	2
пароходик	S	22	2
дорожка	S	21	1
кусок	S	21	2
подружка	S	21	1
угол	S	21	2
карман	S	21	2
приниматься	V	21	
прощать	V	21	
хвостик	S	21	2
морковка	S	21	1
запевать	V	21	
иголка	S	21	1
бедный	A	21	
лев	S	21	2
путь	S	21	Р
батюшка	S	21	1
улыбаться	V	21	
крикнуть	V	21	
второй	ANUM	21	
кто-то	SPRO	21	
ли	CONJ	21	
правда	S	21	1
кончаться	V	21	
юг	S	21	2
хоть	PART	21	
бабочка	S	21	1
главный	A	21	
рукавичка	S	21	1
зайчонок	S	21	2
широкий	A	21	
дно	S	21	2
полный	A	21	
приходиться	V	21	
снежный	A	21	
львенок	S	21	2
птичка	S	21	1
блестеть	V	21	
туда	ADVPRO	21	
минута	S	21	1
страх	S	21	2
братец	S	21	2
дуб	S	21	2
ступать	V	21	
инструктор	S	21	2
враг	S	21	2
даренок	S	21	2
кролик	S	21	2
лошадка	S	20	1
кормить	V	20	
собирать	V	20	
ай	INTJ	20	
баранка	S	20	1
обед	S	20	2
пирожок	S	20	2
у	S	20	Н
выглядывать	V	20	
л	S	20	Н
ягода	S	20	1
зернышко	S	20	2
рад	A	20	
никак	ADVPRO	20	
разве	PART	20	
берлога	S	20	1
холодный	A	20	
молчать	V	20	
сугроб	S	20	2
после	PR	20	
случаться	V	20	
правый	A	20	
кусочек	S	20	2
сухой	A	20	
сколько	ADV	20	
сто	NUM	20	
машенька	S	20	1
погладить	V	20	
наступать	V	20	
перышко	S	20	2
озеро	S	20	2
красавица	S	20	1
мужик	S	20	2
спрятаться	V	20	
спасать	V	20	
стрела	S	20	1
немного	ADV	20	
живот	S	20	2
чудесный	A	20	
родной	A	20	
жаба	S	20	1
слезать	V	20	
мальчишка	S	20	1
двухцветный	A	20	
лепесток	S	20	2
мишутка	S	20	1
язык	S	19	2
получать	V	19	
умываться	V	19	
ушко	S	19	2
пропадать	V	19	
шарик	S	19	2
каша	S	19	1
кружиться	V	19	
заходер	S	19	2
прыгать	V	19	
вместо	PR	19	
сюда	ADVPRO	19	
тянуть	V	19	
яйцо	S	19	2
борода	S	19	1
поросенок	S	19	2
капуста	S	19	1
засмеяться	V	19	
показываться	V	19	
пенек	S	19	2
трое	NUM	19	
густой	A	19	
ловить	V	19	
козел	S	19	2
что-нибудь	SPRO	19	
бом	INTJ	19	
гнать	V	19	
переставать	V	19	
вперед	ADV	19	
подарок	S	19	2
слеза	S	19	1
двенадцать	NUM	19	
приезжать	V	19	
работать	V	19	
хозяин	S	19	2
слоник	S	19	2
ведьма	S	19	1
елена	S	19	1
яльмар	S	19	2
шапка	S	18	1
посадить	V	18	
петя	S	18	1
торопиться	V	18	
кругом	ADV	18	
читать	V	18	
поводить	V	18	
кап	S	18	2
берестов	S	18	2
лавка	S	18	1
лезть	V	18	
спрятать	V	18	
сквозь	PR	18	
яснов	S	18	2
игра	S	18	1
темно	ADV	18	
построить	V	18	
еле	ADV	18	
труба	S	18	1
лапка	S	18	1
оставлять	V	18	
захотеть	V	18	
учить	V	18	
мышь	S	18	3
между	PR	18	
откуда	ADVPRO	18	
повертываться	V	18	
дрова	S	18	T
молодой	A	18	
великий	A	18	
тяжелый	A	18	
мороженое	S	18	А
лягушонок	S	18	2
коровушка	S	18	1
копытце	S	18	2
киса	S	18	1
струмышка	S	18	1
царевна	S	18	1
жар-птица	S	18	1
яичко	S	17	2
холодно	ADV	17	
подарить	V	17	
написать	V	17	
лукойе	S	17	Н
называться	V	17	
залезать	V	17	
хватить	V	17	
медведица	S	17	1
эй	INTJ	17	
